account,group,n_posts,ppl_mean,ppl_var,burstiness,compliance,stance_std,convergence,anomaly
syn_01,synthetic,10,89.077461,715.712055,0.240264,0.062136,0.068868,0.636078,1.111145
pro_02,professional,7,183.568069,3170.765197,0.108406,0.0,0.052578,0.325467,-0.047712
org_12,organic,5,266.644393,62596.343239,0.293123,0.022437,0.066194,0.556794,0.135928
org_05,organic,5,518.973293,224946.424201,0.440921,0.0,0.058594,0.185126,-1.508586
pro_07,professional,7,115.838007,748.888147,0.140465,0.0,0.029911,0.371798,0.143491
org_09,organic,5,180.613867,14913.876115,0.570885,0.051772,0.035476,0.60143,0.29483
syn_14,synthetic,10,93.087513,749.090348,0.309083,0.035667,0.039324,0.536943,0.586765
org_10,organic,5,596.642931,266014.395898,0.707011,0.0,0.074286,0.174864,-2.06654
org_02,organic,5,285.443275,31263.505796,0.403221,0.0,0.057131,0.318833,-0.6927
org_26,organic,5,268.748617,8405.880063,0.196748,0.0,0.07307,0.478571,-0.082515
mix_08,mixed,8,231.636425,22565.667719,0.298228,0.063025,0.048144,0.569006,0.599486
pro_03,professional,7,167.898294,6592.051639,0.114366,0.0,0.052278,0.376365,0.071236
syn_10,synthetic,10,74.237599,452.757399,0.148711,0.074892,0.064162,0.576709,1.279074
org_24,organic,5,234.957062,2572.368318,0.360559,0.004348,0.0679,0.351123,-0.423098
org_31,organic,5,271.656914,8367.962598,0.469861,0.0,0.100588,0.304905,-0.778678
org_22,organic,5,303.493969,18081.648502,0.7057,0.0,0.058356,0.333861,-1.121615
syn_09,synthetic,10,98.501161,2416.035305,0.223737,0.049324,0.056784,0.613805,0.955627
org_28,organic,5,362.744699,13727.369632,0.407955,0.0,0.086691,0.226627,-1.03889
org_33,organic,5,272.008449,33932.554341,0.433712,0.0,0.085766,0.351647,-0.645192
syn_03,synthetic,10,102.757611,1805.798038,0.159898,0.067207,0.082923,0.559218,1.098187
mix_02,mixed,8,163.375129,4951.312993,0.308832,0.04509,0.067936,0.546556,0.53331
org_00,organic,5,235.084532,14794.117169,0.650999,0.0,0.03055,0.278639,-0.993416
org_19,organic,5,260.054708,7924.157932,0.622064,0.0,0.037021,0.428613,-0.738074
org_27,organic,5,431.853865,129580.019367,0.231635,0.028646,0.059614,0.462406,-0.263094
mix_06,mixed,8,207.022704,8681.069181,0.225835,0.057618,0.04925,0.598265,0.757648
org_11,organic,5,199.366554,30578.109842,0.353799,0.057962,0.074548,0.630718,0.660746
pro_11,professional,7,156.221259,10089.228207,0.082474,0.0,0.044414,0.373048,0.135175
syn_05,synthetic,10,105.564999,900.415354,0.215067,0.045556,0.051803,0.659062,0.999281
pro_04,professional,7,201.406959,4680.679937,0.145535,0.0,0.035864,0.495112,0.168367
pro_06,professional,7,156.4317,1490.392683,0.122293,0.0,0.053489,0.425678,0.175215
pro_08,professional,7,133.105101,1667.61309,0.104301,0.0,0.063153,0.431858,0.26328
org_17,organic,5,271.424141,3955.234303,0.422577,0.0,0.023327,0.445055,-0.459547
mix_05,mixed,8,161.462318,6321.540723,0.24229,0.030418,0.064376,0.578666,0.55333
org_21,organic,5,333.031833,25868.91127,0.436168,0.005263,0.063177,0.33448,-0.76806
syn_15,synthetic,10,93.081304,2073.464963,0.184867,0.056438,0.062903,0.645677,1.143734
org_23,organic,5,261.543126,39139.50567,0.394493,0.029178,0.087312,0.354935,-0.295803
org_06,organic,5,315.869855,22866.656829,0.662462,0.0,0.046583,0.219792,-1.296276
org_37,organic,5,246.221548,24345.553652,0.764652,0.069048,0.075496,0.303599,-0.499568
org_20,organic,5,268.924788,45885.675446,0.459426,0.047005,0.075501,0.533665,0.084481
org_08,organic,5,201.967368,11835.434094,0.336362,0.024164,0.073223,0.417019,-0.016093
syn_00,synthetic,10,102.752297,1076.942012,0.2208,0.057868,0.035637,0.591355,0.987464
syn_02,synthetic,10,68.977965,437.748822,0.233028,0.044346,0.066329,0.550965,0.84974
org_15,organic,5,446.565371,294315.224843,0.861199,0.0,0.10437,0.098498,-2.081133
pro_09,professional,7,137.769458,1273.792191,0.112494,0.0,0.06817,0.329822,0.056943
org_32,organic,5,207.527426,7658.718037,0.592189,0.031596,0.03975,0.483697,-0.191704
org_04,organic,5,237.729093,61789.8205,0.61596,0.040802,0.06068,0.603985,0.009747
org_13,organic,5,233.639023,14159.466461,0.364237,0.018661,0.040235,0.419674,-0.170604
syn_06,synthetic,10,104.728206,1845.523659,0.257106,0.072034,0.081522,0.613529,1.10248
syn_13,synthetic,10,116.148068,1156.691134,0.344274,0.058761,0.089721,0.559457,0.738223
mix_04,mixed,8,332.9912,51633.85431,0.306965,0.060463,0.082017,0.541137,0.287075
syn_12,synthetic,10,136.776718,13180.350926,0.227902,0.038157,0.041681,0.593247,0.725271
org_36,organic,5,285.6777,14904.734272,0.427008,0.0,0.091406,0.327075,-0.711004
mix_03,mixed,8,224.068413,21898.188179,0.24661,0.029907,0.057551,0.569264,0.385748
pro_00,professional,7,210.946557,29039.924985,0.14309,0.0,0.054968,0.408524,-0.006293
org_35,organic,5,403.237019,118891.550937,0.436839,0.0,0.069807,0.28277,-1.067522
org_39,organic,5,501.977744,180804.967284,0.610363,0.0,0.093645,0.311045,-1.475617
org_29,organic,5,241.261396,52650.969493,0.443781,0.0,0.045457,0.199576,-0.865482
org_07,organic,5,151.54646,11038.455426,0.530113,0.048589,0.065131,0.609944,0.402232
org_16,organic,5,370.748028,38602.96469,0.456897,0.0,0.135016,0.145322,-1.271185
syn_07,synthetic,10,110.122396,8420.504859,0.189988,0.038587,0.075161,0.601793,0.856362
org_03,organic,5,186.39998,9443.162987,0.544446,0.0,0.0772,0.483099,-0.368119
syn_04,synthetic,10,149.826271,17127.672475,0.301611,0.035708,0.057374,0.532881,0.463206
pro_01,professional,7,156.007713,7038.733297,0.111677,0.0,0.07811,0.369598,0.08927
syn_08,synthetic,10,71.819427,862.704298,0.147132,0.079081,0.044223,0.65752,1.471096
org_25,organic,5,257.109523,65499.897449,0.677286,0.0,0.036766,0.36792,-0.917224
org_38,organic,5,186.644467,4285.991611,0.446788,0.099233,0.055399,0.503563,0.70771
pro_05,professional,7,149.252734,2534.197991,0.094116,0.0,0.059878,0.391523,0.168186
pro_10,professional,7,131.170727,2617.735931,0.112975,0.0,0.040998,0.358949,0.123744
mix_09,mixed,8,159.581945,7895.261142,0.313945,0.045946,0.066106,0.570356,0.58564
mix_01,mixed,8,149.811903,3693.945794,0.252795,0.045336,0.071973,0.571268,0.687619
syn_11,synthetic,10,85.304305,1179.841999,0.260248,0.048368,0.070313,0.605466,0.911137
org_30,organic,5,199.129592,18734.663323,0.2616,0.015462,0.104049,0.383663,-0.046723
org_14,organic,5,463.392082,66183.575891,0.291226,0.0,0.041207,0.349569,-0.880987
org_01,organic,5,179.430649,4421.822448,0.292793,0.0,0.03144,0.451307,-0.064176
mix_00,mixed,8,122.596725,1123.341186,0.249672,0.050692,0.055959,0.589217,0.834091
org_34,organic,5,333.89506,53264.80851,0.489658,0.0,0.109557,0.323177,-0.91197
mix_07,mixed,8,141.84776,3074.053958,0.283232,0.039005,0.101994,0.570748,0.604903
org_18,organic,5,335.016322,21311.854264,0.474161,0.077315,0.057769,0.408808,-0.033018
