group,feature,mean_z,ci_lo,ci_hi,n
organic,ppl_mean,0.6674,0.382,0.9528,40
organic,burst,0.733,0.473,0.9931,40
organic,compliance,-0.3245,-0.6164,-0.0326,40
organic,stance_std,0.1513,-0.2154,0.5179,40
organic,conv,-0.5199,-0.8177,-0.2222,40
professional,ppl_mean,-0.5569,-0.7021,-0.4118,12
professional,burst,-1.26,-1.32,-1.2001,12
professional,compliance,-0.937,-0.937,-0.937,12
professional,stance_std,-0.5107,-0.8791,-0.1424,12
professional,conv,-0.433,-0.6257,-0.2403,12
mixed,ppl_mean,-0.2785,-0.6219,0.065,10
mixed,burst,-0.3978,-0.5095,-0.2861,10
mixed,compliance,0.7687,0.5073,1.0301,10
mixed,stance_std,0.1417,-0.3361,0.6195,10
mixed,conv,0.8866,0.8099,0.9633,10
synthetic,ppl_mean,-1.0768,-1.1722,-0.9813,16
synthetic,burst,-0.6389,-0.7922,-0.4856,16
synthetic,compliance,1.0335,0.7785,1.2885,16
synthetic,stance_std,-0.0836,-0.4639,0.2966,16
synthetic,conv,1.0705,0.9252,1.2158,16
