account_id,class_label,campaign_id,generator_id,generator_family,prompt_family,topic,transformation_id,temperature,n_posts,ppl_mean,ppl_var,burstiness,commercial_policy_framing,convergence
gemini_flash_lite_coordinated_00,coordinated_synthetic,gemini_flash_lite_camp0,gemini_flash_lite,google_gemini,direct_talking_points,flavour restrictions for nicotine vaping products,none,0.35,8,52.79073742859285,258.2510621864901,0.2688670800978437,0.018834288687723008,0.5992200970649719
gemini_flash_lite_coordinated_01,coordinated_synthetic,gemini_flash_lite_camp1,gemini_flash_lite,google_gemini,grassroots_persona,taxation of alternative nicotine products,llm_paraphrase,0.95,8,263.85155326962183,33040.83951739122,0.2997740476226827,0.0026041666666666665,0.3590777814388275
gemini_flash_lite_coordinated_02,coordinated_synthetic,gemini_flash_lite_camp0,gemini_flash_lite,google_gemini,indirect_policy_discussion,advertising and promotion rules for vaping products,noise_insertion,0.35,8,63.90349630893958,862.8798760964689,0.349020065636994,0.005684754521963825,0.4900912642478943
gemini_flash_lite_coordinated_03,coordinated_synthetic,gemini_flash_lite_camp1,gemini_flash_lite,google_gemini,direct_talking_points,retail licensing for nicotine product sellers,sentence_restructure,0.95,8,62.95297429469717,279.09738803653664,0.3512453334702692,0.005902777777777778,0.4122474193572998
gemini_flash_lite_coordinated_04,coordinated_synthetic,gemini_flash_lite_camp0,gemini_flash_lite,google_gemini,grassroots_persona,enforcement of youth access laws for vaping products,none,0.35,8,51.988268896152206,238.8344289965467,0.39520997744995306,0.007970397366117307,0.5619557499885559
gemini_flash_lite_coordinated_05,coordinated_synthetic,gemini_flash_lite_camp1,gemini_flash_lite,google_gemini,indirect_policy_discussion,use of vaping products in public places,llm_paraphrase,0.95,8,463.68938237144516,246512.7113297069,0.3607496491202332,0.0,0.41010403633117676
gemini_flash_lite_coordinated_06,coordinated_synthetic,gemini_flash_lite_camp0,gemini_flash_lite,google_gemini,direct_talking_points,product safety and manufacturing standards for vaping devices,noise_insertion,0.35,8,85.70983631634347,1936.4477002006402,0.3878318168703415,0.005208333333333333,0.5630955696105957
gemini_flash_lite_coordinated_07,coordinated_synthetic,gemini_flash_lite_camp1,gemini_flash_lite,google_gemini,grassroots_persona,the role of vaping products in smoking cessation services,sentence_restructure,0.95,8,54.40570600002318,265.36700228185083,0.31920601756618905,0.007714669051878354,0.4277808666229248
gemini_flash_lite_coordinated_08,coordinated_synthetic,gemini_flash_lite_camp0,gemini_flash_lite,google_gemini,indirect_policy_discussion,flavour restrictions for nicotine vaping products,none,0.35,8,39.414516078416085,227.68541654700002,0.3057262773473398,0.002232142857142857,0.48502394556999207
gemini_flash_lite_coordinated_09,coordinated_synthetic,gemini_flash_lite_camp1,gemini_flash_lite,google_gemini,direct_talking_points,taxation of alternative nicotine products,llm_paraphrase,0.95,8,275.16804135671765,32273.981594385852,0.3202702071554708,0.0026041666666666665,0.327720582485199
gemini_flash_lite_coordinated_10,coordinated_synthetic,gemini_flash_lite_camp0,gemini_flash_lite,google_gemini,grassroots_persona,advertising and promotion rules for vaping products,noise_insertion,0.35,8,77.43612960644548,1244.0862375671768,0.26450571170013004,0.005268411712511091,0.48814657330513
gemini_flash_lite_coordinated_11,coordinated_synthetic,gemini_flash_lite_camp1,gemini_flash_lite,google_gemini,indirect_policy_discussion,retail licensing for nicotine product sellers,sentence_restructure,0.95,8,53.574753657539645,376.0760293557566,0.2668387874272887,0.006031976744186047,0.3973267376422882
gemini_flash_lite_coordinated_12,coordinated_synthetic,gemini_flash_lite_camp0,gemini_flash_lite,google_gemini,direct_talking_points,enforcement of youth access laws for vaping products,none,0.35,8,40.62470086847718,170.56500095992033,0.3668377615366566,0.013534278959810873,0.6644046902656555
gemini_flash_lite_coordinated_13,coordinated_synthetic,gemini_flash_lite_camp1,gemini_flash_lite,google_gemini,grassroots_persona,use of vaping products in public places,llm_paraphrase,0.95,8,418.6459521452613,104312.48790571094,0.38674653278709215,0.0023584905660377358,0.32668378949165344
gemini_flash_lite_coordinated_14,coordinated_synthetic,gemini_flash_lite_camp0,gemini_flash_lite,google_gemini,indirect_policy_discussion,product safety and manufacturing standards for vaping devices,noise_insertion,0.35,8,100.17703411519608,4781.21242375793,0.30924402122523337,0.008455757231990924,0.4861982464790344
gemini_flash_lite_coordinated_15,coordinated_synthetic,gemini_flash_lite_camp1,gemini_flash_lite,google_gemini,direct_talking_points,the role of vaping products in smoking cessation services,sentence_restructure,0.95,8,56.34634762645977,270.4840927015332,0.40973251026487456,0.005902777777777778,0.504837691783905
